Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population 2020,Yearly Change,Net Change,(P/Km²) Density,Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
79.0,Nigeria,165301.0,,2065.0,,155424.0,7812.0,11.0,786.0,10.0,1939165.0,9215.0,206139589.0,0.03,5175990.0,226.0,910770.0,-60000.0,5.40,18,0.52,0.0264
81.0,North Macedonia,153461.0,,5042.0,,136545.0,11874.0,124.0,73662.0,2420.0,731997.0,351364.0,2083374.0,0.0,-85.0,83.0,25220.0,-1000.0,1.50,39,0.59,0.0003
89.0,Norway,115629.0,218.0,767.0,,88952.0,25910.0,28.0,21189.0,141.0,5316358.0,974219.0,5421241.0,0.01,42384.0,15.0,365268.0,28000.0,1.70,40,0.83,0.0007
76.0,Oman,199344.0,,2083.0,,181696.0,15565.0,283.0,38221.0,399.0,1550000.0,297184.0,5106626.0,0.03,131640.0,16.0,309500.0,87400.0,2.90,31,0.87,0.0007
29.0,Pakistan,850131.0,4298.0,18677.0,140.0,747755.0,83699.0,5177.0,3787.0,83.0,12101832.0,53906.0,220892340.0,0.02,4327022.0,287.0,770880.0,-233379.0,3.60,23,0.35,0.0283
57.0,Palestine,300387.0,,3326.0,,281586.0,15475.0,133.0,57755.0,639.0,1763038.0,338979.0,5101414.0,0.02,119994.0,847.0,6020.0,-10563.0,3.70,21,0.80,0.0007
48.0,Panama,366364.0,,6255.0,,356144.0,3965.0,105.0,83798.0,1431.0,2439336.0,557947.0,4314767.0,0.02,68328.0,58.0,74340.0,11200.0,2.50,30,0.68,0.0006
147.0,Papua New Guinea,11630.0,,121.0,,10312.0,1197.0,,1279.0,13.0,95014.0,10453.0,8947024.0,0.02,170915.0,20.0,452860.0,-800.0,3.60,22,0.13,0.0011
58.0,Paraguay,291540.0,,6883.0,,241040.0,43617.0,545.0,40456.0,955.0,1133277.0,157259.0,7132538.0,0.01,87902.0,18.0,397300.0,-16556.0,2.40,26,0.62,0.0009
17.0,Peru,1832671.0,,63223.0,,1720665.0,48783.0,2658.0,54938.0,1895.0,11483598.0,344243.0,32971854.0,0.01,461401.0,26.0,1280000.0,99069.0,2.30,31,0.79,0.0042
25.0,Philippines,1087885.0,7733.0,18099.0,108.0,1003160.0,66626.0,750.0,9818.0,163.0,12173692.0,109860.0,109581078.0,0.01,1464463.0,368.0,298170.0,-67152.0,2.60,26,0.47,0.0141
13.0,Poland,2824425.0,6047.0,69445.0,453.0,2555059.0,199921.0,2296.0,74698.0,1837.0,14678781.0,388209.0,37846611.0,0.0,-41157.0,124.0,306230.0,-29395.0,1.40,42,0.60,0.0049
30.0,Portugal,838852.0,377.0,16989.0,1.0,799442.0,22421.0,75.0,82471.0,1670.0,10781631.0,1059983.0,10196709.0,0.0,-29478.0,111.0,91590.0,-6000.0,1.30,46,0.66,0.0013
73.0,Qatar,210070.0,600.0,496.0,3.0,199444.0,10130.0,274.0,74816.0,177.0,1937204.0,689935.0,2881053.0,0.02,48986.0,248.0,11610.0,40000.0,1.90,32,0.96,0.0004
150.0,Republic of the Congo,11016.0,,147.0,,8208.0,2661.0,,1956.0,26.0,92500.0,16424.0,5518087.0,0.03,137579.0,16.0,341500.0,-4000.0,4.50,19,0.70,0.0007
127.0,Réunion,21601.0,,150.0,,19848.0,1603.0,36.0,23982.0,167.0,102720.0,114043.0,895312.0,0.01,6385.0,358.0,2500.0,-1256.0,2.30,36,1.00,0.0001
26.0,Romania,1063949.0,1422.0,28799.0,89.0,1009237.0,25913.0,1041.0,55620.0,1506.0,8419526.0,440149.0,19237691.0,-0.01,-126866.0,84.0,230170.0,-73999.0,1.60,43,0.55,0.0025
6.0,Russia,4863514.0,8386.0,112622.0,376.0,4480360.0,270532.0,2300.0,33315.0,771.0,130600000.0,894598.0,145934462.0,0.0,62206.0,9.0,16376870.0,182456.0,1.80,40,0.74,0.0187
123.0,Rwanda,25486.0,,338.0,,23876.0,1272.0,1.0,1928.0,26.0,1333441.0,100852.0,12952218.0,0.03,325268.0,525.0,24670.0,-9000.0,4.10,20,0.18,0.0017
221.0,Saint Helena,2.0,,,,2.0,0.0,,328.0,,,,6077.0,0.0,18.0,16.0,390.0,,N.A.,N.A.,0.27,0.0
210.0,Saint Kitts and Nevis,45.0,,,,44.0,1.0,,841.0,,13691.0,255825.0,53199.0,0.01,376.0,205.0,260.0,,N.A.,N.A.,0.33,0.0
167.0,Saint Lucia,4607.0,5.0,75.0,,4427.0,105.0,1.0,24992.0,407.0,41126.0,223102.0,183627.0,0.0,837.0,301.0,610.0,0.0,1.40,34,0.19,0.0
220.0,Samoa,3.0,,,,2.0,1.0,,15.0,,,,198414.0,0.01,1317.0,70.0,2830.0,-2803.0,3.90,22,0.18,0.0
165.0,San Marino,5067.0,,90.0,,4935.0,42.0,4.0,149069.0,2648.0,61760.0,1816952.0,33931.0,0.0,71.0,566.0,60.0,,N.A.,N.A.,0.97,0.0
183.0,Sao Tome and Principe,2317.0,,35.0,,2258.0,24.0,,10410.0,157.0,12999.0,58400.0,219159.0,0.02,4103.0,228.0,960.0,-1680.0,4.40,19,0.74,0.0
43.0,Saudi Arabia,424445.0,1039.0,7045.0,13.0,407650.0,9750.0,1311.0,12034.0,200.0,17389803.0,493040.0,34813871.0,0.02,545343.0,16.0,2149690.0,134979.0,2.30,32,0.84,0.0045
112.0,Senegal,40621.0,43.0,1116.0,,39316.0,189.0,10.0,2374.0,65.0,488257.0,28529.0,16743927.0,0.03,447563.0,87.0,192530.0,-20000.0,4.70,19,0.49,0.0021
35.0,Serbia,698518.0,1277.0,6519.0,20.0,655869.0,36130.0,131.0,80220.0,749.0,3907936.0,448799.0,8737371.0,0.0,-34864.0,100.0,87460.0,4000.0,1.50,42,0.56,0.0011
162.0,Seychelles,6373.0,,28.0,,5277.0,1068.0,,64464.0,283.0,21504.0,217515.0,98347.0,0.01,608.0,214.0,460.0,-200.0,2.50,34,0.56,0.0
170.0,Sierra Leone,4068.0,,79.0,,3078.0,911.0,,501.0,10.0,153257.0,18889.0,7976983.0,0.02,163768.0,111.0,72180.0,-4200.0,4.30,19,0.43,0.001
105.0,Singapore,61311.0,25.0,31.0,,60906.0,374.0,2.0,10411.0,5.0,9906797.0,1682196.0,5850342.0,0.01,46005.0,8358.0,700.0,27028.0,1.20,42,N.A.,0.0008
184.0,Sint Maarten,2250.0,3.0,27.0,,2197.0,26.0,2.0,51979.0,624.0,26359.0,608936.0,42876.0,0.01,488.0,1261.0,34.0,,N.A.,N.A.,0.96,0.0
46.0,Slovakia,385022.0,362.0,11946.0,26.0,366715.0,6361.0,264.0,70493.0,2187.0,2704901.0,495233.0,5459642.0,0.0,2629.0,114.0,48088.0,1485.0,1.50,41,0.54,0.0007
67.0,Slovenia,245159.0,606.0,4285.0,3.0,231559.0,9315.0,142.0,117911.0,2061.0,1199033.0,576686.0,2078938.0,0.0,284.0,103.0,20140.0,2000.0,1.60,45,0.55,0.0003
