,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
36,Switzerland,670613.00,1546.00,10698.00,3.00,601958.00,57957.00,212.00,77010.00,1229.00,7088449.00,814007.00
125,Syria,23191.00,,1631.00,,17932.00,3628.00,,1299.00,91.00,103566.00,5800.00
194,Taiwan,1178.00,5.00,12.00,,1077.00,89.00,,49.00,0.50,555429.00,23285.00
140,Tajikistan,13308.00,,90.00,,13218.00,0.00,,1369.00,9.00,,
199,Tanzania,509.00,,21.00,,183.00,305.00,7.00,8.00,0.30,,
98,Thailand,78855.00,2044.00,363.00,27.00,49172.00,29320.00,1170.00,1127.00,5.00,8124896.00,116156.00
177,Timor-Leste,2965.00,95.00,4.00,,1596.00,1365.00,,2213.00,3.00,69967.00,52231.00
142,Togo,13090.00,22.00,124.00,1.00,11508.00,1458.00,,1551.00,15.00,315112.00,37328.00
,Total:,157017740.00,327426.00,3274247.00,4880.00,135177763.00,18565730.00,109129.00,20143.90,420.10,,
144,Trinidad and Tobago,12396.00,,191.00,,8969.00,3236.00,38.00,8833.00,136.00,138704.00,98840.00
55,Tunisia,317010.00,,11208.00,,272505.00,33297.00,529.00,26588.00,940.00,1344853.00,112795.00
5,Turkey,4977982.00,,42187.00,,4626799.00,308996.00,3378.00,58492.00,496.00,48712606.00,572383.00
182,Turks and Caicos Islands,2402.00,,17.00,,2358.00,27.00,2.00,61340.00,434.00,60836.00,1553564.00
111,Uganda,42152.00,,345.00,,41652.00,155.00,24.00,898.00,7.00,1029255.00,21922.00
16,Ukraine,2105428.00,8404.00,45830.00,379.00,1731162.00,328436.00,177.00,48389.00,1053.00,9555109.00,219603.00
39,United Arab Emirates,532710.00,1766.00,1607.00,3.00,513068.00,18035.00,,53318.00,161.00,45466777.00,4550685.00
7,United Kingdom,4431043.00,2490.00,127598.00,15.00,4242192.00,61253.00,163.00,64983.00,1871.00,163171777.00,2392987.00
1,United States of America,33374726.00,5534.00,594103.00,97.00,26105941.00,6674682.00,9261.00,100332.00,1786.00,454546735.00,1366469.00
72,Uruguay,213449.00,,2972.00,,184506.00,25971.00,539.00,61267.00,853.00,1873060.00,537631.00
93,Uzbekistan,93597.00,421.00,660.00,3.00,89338.00,3599.00,23.00,2763.00,19.00,1377915.00,40673.00
218,Vanuatu,4.00,,1.00,,3.00,0.00,,13.00,3.00,23000.00,73442.00
212,Vatican City,27.00,,,,15.00,12.00,,33624.00,,,
74,Venezuela,204057.00,,2244.00,,186388.00,15425.00,317.00,7193.00,79.00,3359014.00,118410.00
176,Vietnam,3137.00,47.00,35.00,,2560.00,542.00,,32.00,0.40,2958119.00,30161.00
200,Wallis and Futuna,445.00,,7.00,,44.00,394.00,1.00,40191.00,632.00,17264.00,1559249.00
216,Western Sahara,10.00,,1.00,,8.00,1.00,,16.00,2.00,,
,World,157017740.00,327426.00,3274247.00,4880.00,135177763.00,18565730.00,109129.00,20144.00,420.10,,
161,Yemen,6426.00,,1265.00,,2971.00,2190.00,23.00,212.00,42.00,30269.00,996.00
95,Zambia,91946.00,,1256.00,,90264.00,426.00,37.00,4887.00,67.00,1426687.00,75824.00
114,Zimbabwe,38398.00,,1575.00,,36027.00,796.00,12.00,2552.00,105.00,428309.00,28468.00
